CVSS Score,Number Of Vulnerabilities,Percentage
0-1,1005,0.60
1-2,1172,0.70
2-3,8028,4.60
3-4,8819,5.00
4-5,41405,23.70
5-6,33039,18.90
6-7,25979,14.90
7-8,34907,20.00
8-9,869,0.50
9-10,19521,11.20
Total,174744,
