Unnamed: 0_level_0,Product Name,Vendor Name,Number of Total Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,Weighted Average,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total
Unnamed: 0_level_1,Product Name,Vendor Name,Number of Total Vulnerabilities,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9+,Weighted Average,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9+
38,Gitlab,Gitlab,672,,1.0,10,68.0,293,208,58,33,,1,5.5,0,0,1,10,44,31,9,5,0,0
39,PHP,PHP,633,,1.0,20,5.0,66,200,93,204,2.0,42,6.8,0,0,3,1,10,32,15,32,0,7
40,Enterprise Linux Server Eus,Redhat,630,,5.0,29,11.0,137,113,105,167,,63,6.7,0,1,5,2,22,18,17,27,0,10
41,Mac Os X Server,Apple,628,,6.0,48,6.0,89,107,162,139,2.0,69,6.7,0,1,8,1,14,17,26,22,0,11
42,Wireshark,Wireshark,618,,,23,33.0,184,300,8,48,3.0,19,5.8,0,0,4,5,30,49,1,8,0,3
43,Imagemagick,Imagemagick,616,,,2,2.0,340,50,119,96,,7,6.0,0,0,0,0,55,8,19,16,0,1
44,Itunes,Apple,590,,,3,2.0,49,13,339,79,1.0,104,7.4,0,0,1,0,8,2,57,13,0,18
45,Sunos,SUN,565,,14.0,55,27.0,113,80,29,189,2.0,56,6.4,0,2,10,5,20,14,5,33,0,10
46,Macos,Apple,534,1.0,2.0,32,1.0,169,53,152,34,2.0,88,6.6,0,0,6,0,32,10,28,6,0,16
47,Solaris,Oracle,492,,22.0,43,52.0,158,78,40,62,4.0,33,5.7,0,4,9,11,32,16,8,13,1,7
48,Oncommand Insight,Netapp,490,,5.0,23,23.0,279,78,63,15,2.0,2,5.4,0,1,5,5,57,16,13,3,0,0
49,IOS,Cisco,482,1.0,,11,12.0,42,88,54,239,4.0,31,7.2,0,0,2,2,9,18,11,50,1,6
50,Windows 2000,Microsoft,478,1.0,,26,5.0,42,91,24,175,1.0,113,7.5,0,0,5,1,9,19,5,37,0,24
