,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:h:hp:elitedesk_800_35w_g4_desktop_mini_pc:-:*:*:*:*:*:*:*,HP EliteDesk 800 35W G4 Desktop Mini PC,"['CVE-2021-39297', 'CVE-2021-39298', 'CVE-2021-39299', 'CVE-2021-39300', 'CVE-2021-39301']",2022-03-21T13:20Z
1,cpe:2.3:h:hp:elitedesk_800_65w_g4_desktop_mini_pc:-:*:*:*:*:*:*:*,HP EliteDesk 800 65W G4 Desktop Mini PC,"['CVE-2021-39297', 'CVE-2021-39298', 'CVE-2021-39299', 'CVE-2021-39300', 'CVE-2021-39301']",2022-03-21T13:20Z
2,cpe:2.3:h:hp:elitedesk_800_95w_g4_desktop_mini_pc:-:*:*:*:*:*:*:*,HP EliteDesk 800 95W G4 Desktop Mini PC,"['CVE-2021-39297', 'CVE-2021-39298', 'CVE-2021-39299', 'CVE-2021-39300', 'CVE-2021-39301']",2022-03-21T13:20Z
3,cpe:2.3:h:hp:elitedesk_800_g2_dm:-:*:*:*:*:*:*:*,HP EliteDesk 800 G2 DM,"['CVE-2016-2243', 'CVE-2019-16284']",2022-03-21T13:20Z
4,cpe:2.3:o:hp:elitedesk_800_g2_dm_firmware:-:*:*:*:*:*:*:*,HP EliteDesk 800 G2 DM Firmware,['CVE-2019-16284'],2022-03-21T13:20Z
5,cpe:2.3:o:hp:elitedesk_800_g2_dm_firmware:2.42:*:*:*:*:*:*:*,HP EliteDesk 800 G2 DM Firmware 2.42,[''],2022-03-21T13:20Z
6,cpe:2.3:h:hp:elitedesk_800_g2_sff:-:*:*:*:*:*:*:*,HP EliteDesk 800 G2 SFF,['CVE-2019-16284'],2022-03-21T13:20Z
7,cpe:2.3:o:hp:elitedesk_800_g2_sff_firmware:-:*:*:*:*:*:*:*,HP EliteDesk 800 G2 SFF Firmware,['CVE-2019-16284'],2022-03-21T13:20Z
8,cpe:2.3:o:hp:elitedesk_800_g2_sff_firmware:2.42:*:*:*:*:*:*:*,HP EliteDesk 800 G2 SFF Firmware 2.42,[''],2022-03-21T13:21Z
9,cpe:2.3:h:hp:elitedesk_800_g2_twr:-:*:*:*:*:*:*:*,HP EliteDesk 800 G2 TWR,"['CVE-2016-2243', 'CVE-2019-16284']",2022-03-21T13:21Z
