,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:apache:mod_python:2.7:*:*:*:*:*:*:*,Apache Software Foundation mod_python 2.7,"['CVE-2002-0185', 'CVE-2003-0973', 'CVE-2004-2680', 'CVE-2005-0088']",2022-03-18T19:29Z
1,cpe:2.3:a:apache:mod_python:2.7.1:*:*:*:*:*:*:*,Apache Software Foundation mod_python 2.7.1,"['CVE-2002-0185', 'CVE-2003-0973', 'CVE-2004-2680', 'CVE-2005-0088']",2022-03-18T19:29Z
2,cpe:2.3:a:apache:mod_python:2.7.2:*:*:*:*:*:*:*,Apache Software Foundation mod_python 2.7.2,"['CVE-2002-0185', 'CVE-2003-0973', 'CVE-2004-2680', 'CVE-2005-0088']",2022-03-18T19:29Z
3,cpe:2.3:a:apache:mod_python:2.7.3:*:*:*:*:*:*:*,Apache Software Foundation mod_python 2.7.3,"['CVE-2002-0185', 'CVE-2003-0973', 'CVE-2004-2680', 'CVE-2005-0088']",2022-03-18T19:29Z
4,cpe:2.3:a:apache:mod_python:2.7.4:*:*:*:*:*:*:*,Apache Software Foundation mod_python 2.7.4,"['CVE-2002-0185', 'CVE-2003-0973', 'CVE-2004-2680', 'CVE-2005-0088']",2022-03-18T19:29Z
5,cpe:2.3:a:apache:mod_python:2.7.5:*:*:*:*:*:*:*,Apache Software Foundation mod_python 2.7.5,"['CVE-2002-0185', 'CVE-2003-0973', 'CVE-2004-2680', 'CVE-2005-0088']",2022-03-18T19:29Z
6,cpe:2.3:a:apache:mod_python:2.7.6:*:*:*:*:*:*:*,Apache Software Foundation mod_python 2.7.6,"['CVE-2002-0185', 'CVE-2003-0973', 'CVE-2004-2680', 'CVE-2005-0088']",2022-03-18T19:29Z
7,cpe:2.3:a:apache:mod_python:2.7.7:*:*:*:*:*:*:*,Apache Software Foundation mod_python 2.7.7,"['CVE-2003-0973', 'CVE-2004-2680', 'CVE-2005-0088']",2022-03-18T19:29Z
8,cpe:2.3:a:apache:mod_python:2.7.8:*:*:*:*:*:*:*,Apache Software Foundation mod_python 2.7.8,"['CVE-2003-0973', 'CVE-2004-2680', 'CVE-2005-0088']",2022-03-18T19:29Z
9,cpe:2.3:a:apache:mod_python:2.7.9:*:*:*:*:*:*:*,Apache Software Foundation mod_python 2.7.9,"['CVE-2004-0096', 'CVE-2004-2680']",2022-03-18T19:29Z
