,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:bacnet_protocol_stack_project:bacnet_protocol_stack:0.4.4:*:*:*:*:*:*:*,BACnet Protocol Stack Project BACnet Protocol Stack 0.4.4,['CVE-2019-12480'],2022-03-19T05:57Z
1,cpe:2.3:a:bacnet_protocol_stack_project:bacnet_protocol_stack:0.4.5:*:*:*:*:*:*:*,BACnet Protocol Stack Project BACnet Protocol Stack 0.4.5,['CVE-2019-12480'],2022-03-19T05:57Z
2,cpe:2.3:a:bacnet_protocol_stack_project:bacnet_protocol_stack:0.4.6:*:*:*:*:*:*:*,BACnet Protocol Stack Project BACnet Protocol Stack 0.4.6,['CVE-2019-12480'],2022-03-19T05:57Z
3,cpe:2.3:a:bacnet_protocol_stack_project:bacnet_protocol_stack:0.4.7:*:*:*:*:*:*:*,BACnet Protocol Stack Project BACnet Protocol Stack 0.4.7,['CVE-2019-12480'],2022-03-19T05:57Z
4,cpe:2.3:a:bacnet_protocol_stack_project:bacnet_protocol_stack:0.5.0:*:*:*:*:*:*:*,BACnet Protocol Stack Project BACnet Protocol Stack 0.5.0,['CVE-2019-12480'],2022-03-19T05:57Z
5,cpe:2.3:a:bacnet_protocol_stack_project:bacnet_protocol_stack:0.5.1:*:*:*:*:*:*:*,BACnet Protocol Stack Project BACnet Protocol Stack 0.5.1,['CVE-2019-12480'],2022-03-19T05:57Z
6,cpe:2.3:a:bacnet_protocol_stack_project:bacnet_protocol_stack:0.5.2:*:*:*:*:*:*:*,BACnet Protocol Stack Project BACnet Protocol Stack 0.5.2,['CVE-2019-12480'],2022-03-19T05:57Z
7,cpe:2.3:a:bacnet_protocol_stack_project:bacnet_protocol_stack:0.5.3:*:*:*:*:*:*:*,BACnet Protocol Stack Project BACnet Protocol Stack 0.5.3,['CVE-2019-12480'],2022-03-19T05:57Z
8,cpe:2.3:a:bacnet_protocol_stack_project:bacnet_protocol_stack:0.5.4:*:*:*:*:*:*:*,BACnet Protocol Stack Project BACnet Protocol Stack 0.5.4,['CVE-2019-12480'],2022-03-19T05:57Z
9,cpe:2.3:a:bacnet_protocol_stack_project:bacnet_protocol_stack:0.5.5:*:*:*:*:*:*:*,BACnet Protocol Stack Project BACnet Protocol Stack 0.5.5,['CVE-2019-12480'],2022-03-19T05:57Z
