,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:ibm:sterling_b2b_integrator:6.2.6.1:*:*:*:*:*:*:*,IBM Sterling B2B Integrator 6.2.6.1,['CVE-2018-1800'],2022-03-21T22:17Z
1,cpe:2.3:a:ibm:sterling_connect:3.4.0.0:*:*:*:*:*:*:*,IBM Sterling Connect 3.4.0.0,['CVE-2013-4035'],2022-03-21T22:17Z
2,cpe:2.3:a:ibm:sterling_connect:3.4.0.1:*:*:*:*:*:*:*,IBM Sterling Connect 3.4.0.1,['CVE-2013-4035'],2022-03-21T22:17Z
3,cpe:2.3:a:ibm:sterling_connect:3.5.0.0:*:*:*:*:*:*:*,IBM Sterling Connect 3.5.0.0,['CVE-2013-4035'],2022-03-21T22:17Z
4,cpe:2.3:a:ibm:sterling_connect:3.6.0:*:*:*:*:*:*:*,IBM Sterling Connect 3.6.0,['CVE-2013-4035'],2022-03-21T22:17Z
5,cpe:2.3:a:ibm:sterling_connect:3.6.0.1:*:*:*:*:*:*:*,IBM Sterling Connect 3.6.0.1,['CVE-2013-4035'],2022-03-21T22:17Z
6,cpe:2.3:a:ibm:sterling_connect:4.1.0.0:*:*:*:*:*:*:*,IBM Sterling Connect:Direct 4.1.0.0,"['CVE-2012-6352', 'CVE-2013-2989']",2022-03-21T22:17Z
7,cpe:2.3:a:ibm:sterling_connect:4.1.0.1:*:*:*:*:*:*:*,IBM Sterling Connect:Direct 4.1.0.1,['CVE-2012-6352'],2022-03-21T22:17Z
8,cpe:2.3:a:ibm:sterling_connect:4.1.0.2:*:*:*:*:*:*:*,IBM Sterling Connect:Direct 4.1.0.2,['CVE-2012-6352'],2022-03-21T22:17Z
9,cpe:2.3:a:ibm:sterling_connect:4.1.0.3:*:*:*:*:*:*:*,IBM Sterling Connect:Direct 4.1.0.3,['CVE-2012-6352'],2022-03-21T22:17Z
