,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,[0],[0],[0],[0]
1,[0],[0],[0],[0]
2,[0],[0],[0],[0]
3,[0],[0],[0],[0]
4,[0],[0],[0],[0]
5,[0],[0],[0],[0]
6,[0],[0],[0],[0]
7,cpe:2.3:o:cisco:wireless_lan_controller_firmware:8.2.121.0:*:*:*:*:*:*:*,Cisco Wireless LAN Controller (WLC) Firmware 8.2.121.0,['CVE-2016-9219'],2022-03-20T01:22Z
8,[0],[0],[0],[0]
9,cpe:2.3:o:cisco:wireless_lan_controller_firmware:8.3\(133.0\):*:*:*:*:*:*:*,Cisco Wireless LAN Controller (WLC) Firmware 8.3(133.0),[''],2022-03-20T01:22Z
