,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:h:hp:simplivity_2600_gen10:-:*:*:*:*:*:*:*,HP SimpliVity 2600 Gen10,"['CVE-2019-11993', 'CVE-2019-11994']",2022-03-21T16:02Z
1,cpe:2.3:o:hp:simplivity_2600_gen10_firmware:3.5.7:*:*:*:*:*:*:*,HP SimpliVity 2600 Gen10 Firmware 3.5.7,[''],2022-03-21T16:02Z
2,cpe:2.3:o:hp:simplivity_2600_gen10_firmware:3.5.9:*:*:*:*:*:*:*,HP SimpliVity 2600 Gen10 Firmware 3.5.9,[''],2022-03-21T16:02Z
3,cpe:2.3:h:hp:simplivity_325:-:*:*:*:*:*:*:*,HP Simplivity 325,"['CVE-2021-29201', 'CVE-2021-29202', 'CVE-2021-29204', 'CVE-2021-29205', 'CVE-2021-29206', 'CVE-2021-29207', 'CVE-2021-29208', 'CVE-2021-29209', 'CVE-2021-29210', 'CVE-2021-29211']",2022-03-21T16:02Z
4,cpe:2.3:h:hp:simplivity_380_gen10:-:*:*:*:*:*:*:*,HP SimpliVity 380 Gen10,"['CVE-2019-11993', 'CVE-2019-11994', 'CVE-2021-29201', 'CVE-2021-29202', 'CVE-2021-29204', 'CVE-2021-29205', 'CVE-2021-29206', 'CVE-2021-29207', 'CVE-2021-29208', 'CVE-2021-29209', 'CVE-2021-29210', 'CVE-2021-29211']",2022-03-21T16:02Z
5,cpe:2.3:o:hp:simplivity_380_gen10_firmware:3.7.1:*:*:*:*:*:*:*,HP SimpliVity 380 Gen10 Firmware 3.7.1,"['CVE-2019-11993', 'CVE-2019-11994']",2022-03-21T16:02Z
6,cpe:2.3:o:hp:simplivity_380_gen10_firmware:3.7.9:*:*:*:*:*:*:*,HP SimpliVity 380 Gen10 Firmware 3.7.9,"['CVE-2019-11993', 'CVE-2019-11994']",2022-03-21T16:02Z
7,cpe:2.3:h:hp:simplivity_380_gen10_g:-:*:*:*:*:*:*:*,HP SimpliVity 380 Gen10 G,"['CVE-2019-11993', 'CVE-2019-11994', 'CVE-2021-29201', 'CVE-2021-29202', 'CVE-2021-29204', 'CVE-2021-29205', 'CVE-2021-29206', 'CVE-2021-29207', 'CVE-2021-29208', 'CVE-2021-29209', 'CVE-2021-29210', 'CVE-2021-29211']",2022-03-21T16:02Z
8,cpe:2.3:o:hp:simplivity_380_gen10_g_firmware:3.7.8:*:*:*:*:*:*:*,HP SimpliVity 380 Gen10 G Firmware 3.7.8,"['CVE-2019-11993', 'CVE-2019-11994']",2022-03-21T16:02Z
9,cpe:2.3:o:hp:simplivity_380_gen10_g_firmware:3.7.9:*:*:*:*:*:*:*,HP SimpliVity 380 Gen10 G Firmware 3.7.9,"['CVE-2019-11993', 'CVE-2019-11994']",2022-03-21T16:02Z
