,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:cmsjunkie:j-businessdirectory:4.6.2:*:*:*:*:joomla\!:*:*,CMSjunkie Joomla Business Directory 4.6.2 for Joomla!,['CVE-2020-5182'],2022-03-20T04:23Z
1,cpe:2.3:a:cmsjunkie:j-businessdirectory:4.6.3:*:*:*:*:joomla\!:*:*,CMSjunkie Joomla Business Directory 4.6.3 for Joomla!,['CVE-2020-5182'],2022-03-20T04:23Z
2,cpe:2.3:a:cmsjunkie:j-businessdirectory:4.6.4:*:*:*:*:joomla\!:*:*,CMSjunkie Joomla Business Directory 4.6.4 for Joomla!,['CVE-2020-5182'],2022-03-20T04:23Z
3,cpe:2.3:a:cmsjunkie:j-businessdirectory:4.6.5:*:*:*:*:joomla\!:*:*,CMSjunkie Joomla Business Directory 4.6.5 for Joomla!,['CVE-2020-5182'],2022-03-20T04:23Z
4,cpe:2.3:a:cmsjunkie:j-businessdirectory:4.6.6:*:*:*:*:joomla\!:*:*,CMSjunkie Joomla Business Directory 4.6.6 for Joomla!,['CVE-2020-5182'],2022-03-20T04:23Z
5,cpe:2.3:a:cmsjunkie:j-businessdirectory:4.6.7:*:*:*:*:joomla\!:*:*,CMSjunkie Joomla Business Directory 4.6.7 for Joomla!,['CVE-2020-5182'],2022-03-20T04:23Z
6,cpe:2.3:a:cmsjunkie:j-businessdirectory:4.6.8:*:*:*:*:joomla\!:*:*,CMSjunkie Joomla Business Directory 4.6.8 for Joomla!,['CVE-2020-5182'],2022-03-20T04:23Z
7,cpe:2.3:a:cmsjunkie:j-businessdirectory:4.7.0:beta:*:*:*:joomla\!:*:*,CMSjunkie Joomla Business Directory 4.7.0 Beta for Joomla!,['CVE-2020-5182'],2022-03-20T04:23Z
8,cpe:2.3:a:cmsjunkie:j-businessdirectory:4.7.1:rc1:*:*:*:joomla\!:*:*,CMSjunkie Joomla Business Directory 4.7.1 Release Candidate 1 for Joomla!,['CVE-2020-5182'],2022-03-20T04:23Z
9,cpe:2.3:a:cmsjunkie:j-businessdirectory:4.7.2:rc2:*:*:*:joomla\!:*:*,CMSjunkie Joomla Business Directory 4.7.2 Release Candidate 2 for Joomla!,['CVE-2020-5182'],2022-03-20T04:23Z
