,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:h:hikvision:ds-2cd2421g0-i\(d\)w:-:*:*:*:*:*:*:*,Hikvision DS-2CD2421G0-I(D)W,['CVE-2021-36260'],2022-03-21T11:08Z
1,cpe:2.3:o:hikvision:ds-2cd2421g0-i\(d\)w_firmware:-:*:*:*:*:*:*:*,Hikvision DS-2CD2421G0-I(D)W Firmware,['CVE-2021-36260'],2022-03-21T11:08Z
2,cpe:2.3:h:hikvision:ds-2cd2426g2-i:-:*:*:*:*:*:*:*,Hikvision DS-2CD2426G2-I,['CVE-2021-36260'],2022-03-21T11:08Z
3,cpe:2.3:o:hikvision:ds-2cd2426g2-i_firmware:-:*:*:*:*:*:*:*,Hikvision DS-2CD2426G2-I Firmware,['CVE-2021-36260'],2022-03-21T11:08Z
4,cpe:2.3:o:hikvision:ds-2cd2432f-i\(w\)_firmware:-:*:*:*:*:*:*:*,Hikvision DS-2CD2432F-I(W) Firmware,"['CVE-2017-7921', 'CVE-2017-7923']",2022-03-21T11:08Z
5,cpe:2.3:h:hikvision:ds-2cd2432f-iw:-:*:*:*:*:*:*:*,Hikvision DS-2CD2432F-IW,['CVE-2017-14953'],2022-03-21T11:08Z
6,cpe:2.3:o:hikvision:ds-2cd2432f-iw_firmware:5.3.0:*:*:*:*:*:*:*,Hikvision DS-2CD2432F-IW Firmware 5.3.0,['CVE-2017-14953'],2022-03-21T11:08Z
7,cpe:2.3:o:hikvision:ds-2cd2432f-iw_firmware:5.4.0:*:*:*:*:*:*:*,Hikvision DS-2CD2432F-IW Firmware 5.4.0,['CVE-2017-14953'],2022-03-21T11:08Z
8,cpe:2.3:o:hikvision:ds-2cd2432f-iw_firmware:5.4.5:*:*:*:*:*:*:*,Hikvision DS-2CD2432F-IW Firmware 5.4.5,[''],2022-03-21T11:08Z
9,cpe:2.3:h:hikvision:ds-2cd2446g2-i:-:*:*:*:*:*:*:*,Hikvision DS-2CD2446G2-I,['CVE-2021-36260'],2022-03-21T11:08Z
