,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:haserl_project:haserl:0.9.14:*:*:*:*:*:*:*,haserl Project haserl 0.9.14,['CVE-2021-29133'],2022-03-21T09:27Z
1,cpe:2.3:a:haserl_project:haserl:0.9.15:*:*:*:*:*:*:*,haserl Project haserl 0.9.15,['CVE-2021-29133'],2022-03-21T09:27Z
2,cpe:2.3:a:haserl_project:haserl:0.9.16:*:*:*:*:*:*:*,haserl Project haserl 0.9.16,['CVE-2021-29133'],2022-03-21T09:27Z
3,cpe:2.3:a:haserl_project:haserl:0.9.17:-:*:*:*:*:*:*,haserl Project haserl 0.9.17,['CVE-2021-29133'],2022-03-21T09:27Z
4,cpe:2.3:a:haserl_project:haserl:0.9.17:rc2:*:*:*:*:*:*,haserl Project haserl 0.9.17 Release Candidate 2,['CVE-2021-29133'],2022-03-21T09:27Z
5,cpe:2.3:a:haserl_project:haserl:0.9.17:rc3:*:*:*:*:*:*,haserl Project haserl 0.9.17 Release Candidate 3,['CVE-2021-29133'],2022-03-21T09:27Z
6,cpe:2.3:a:haserl_project:haserl:0.9.18:*:*:*:*:*:*:*,haserl Project haserl 0.9.18,['CVE-2021-29133'],2022-03-21T09:27Z
7,cpe:2.3:a:haserl_project:haserl:0.9.19:*:*:*:*:*:*:*,haserl Project haserl 0.9.19,['CVE-2021-29133'],2022-03-21T09:27Z
8,cpe:2.3:a:haserl_project:haserl:0.9.20:*:*:*:*:*:*:*,haserl Project haserl 0.9.20,['CVE-2021-29133'],2022-03-21T09:27Z
9,cpe:2.3:a:haserl_project:haserl:0.9.21:*:*:*:*:*:*:*,haserl Project haserl 0.9.21,['CVE-2021-29133'],2022-03-21T09:27Z
