,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:centreon:centreon_web:19.04.5:*:*:*:*:*:*:*,Centreon Web 19.04.5,[''],2022-03-19T16:02Z
1,cpe:2.3:a:centreon:centreon_web:19.04.6:*:*:*:*:*:*:*,Centreon Web 19.04.6,[''],2022-03-19T16:02Z
2,cpe:2.3:a:centreon:centreon_web:19.04.7:*:*:*:*:*:*:*,Centreon Web 19.04.7,[''],2022-03-19T16:02Z
3,cpe:2.3:a:centreon:centreon_web:19.04.8:*:*:*:*:*:*:*,Centreon Web 19.04.8,[''],2022-03-19T16:02Z
4,cpe:2.3:a:centreon:centreon_web:19.04.9:*:*:*:*:*:*:*,Centreon Web 19.04.9,[''],2022-03-19T16:02Z
5,cpe:2.3:a:centreon:centreon_web:19.04.10:*:*:*:*:*:*:*,Centreon Web 19.04.10,[''],2022-03-19T16:02Z
6,cpe:2.3:a:centreon:centreon_web:19.04.11:*:*:*:*:*:*:*,Centreon Web 19.04.11,[''],2022-03-19T16:02Z
7,cpe:2.3:a:centreon:centreon_web:19.04.12:*:*:*:*:*:*:*,Centreon Web 19.04.12,[''],2022-03-19T16:02Z
8,cpe:2.3:a:centreon:centreon_web:19.04.13:*:*:*:*:*:*:*,Centreon Web 19.04.13,[''],2022-03-19T16:02Z
9,cpe:2.3:a:centreon:centreon_web:19.04.15:*:*:*:*:*:*:*,Centreon Web 19.04.15,[''],2022-03-19T16:02Z
