,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:contao:contao:2.0:beta-rc1:*:*:*:*:*:*,Contao 2.0 Beta and Release Candidate 1,['CVE-2012-4383'],2022-03-20T07:32Z
1,cpe:2.3:a:contao:contao:2.0:beta-rc2:*:*:*:*:*:*,Contao 2.0 Beta and Release Candidate 2,['CVE-2012-4383'],2022-03-20T07:32Z
2,cpe:2.3:a:contao:contao:2.0:beta-rc3:*:*:*:*:*:*,Contao 2.0 Beta and Release Candidate 3,['CVE-2012-4383'],2022-03-20T07:32Z
3,cpe:2.3:a:contao:contao:2.1.0:*:*:*:*:*:*:*,Contao 2.1.0,['CVE-2012-4383'],2022-03-20T07:32Z
4,cpe:2.3:a:contao:contao:2.1.1:*:*:*:*:*:*:*,Contao 2.1.1,['CVE-2012-4383'],2022-03-20T07:32Z
5,cpe:2.3:a:contao:contao:2.1.2:*:*:*:*:*:*:*,Contao 2.1.2,['CVE-2012-4383'],2022-03-20T07:32Z
6,cpe:2.3:a:contao:contao:2.1.3:*:*:*:*:*:*:*,Contao 2.1.3,['CVE-2012-4383'],2022-03-20T07:32Z
7,cpe:2.3:a:contao:contao:2.1.4:*:*:*:*:*:*:*,Contao 2.1.4,['CVE-2012-4383'],2022-03-20T07:32Z
8,cpe:2.3:a:contao:contao:2.1.5:*:*:*:*:*:*:*,Contao 2.1.5,['CVE-2012-4383'],2022-03-20T07:32Z
9,cpe:2.3:a:contao:contao:2.1.6:*:*:*:*:*:*:*,Contao 2.1.6,['CVE-2012-4383'],2022-03-20T07:32Z
