,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:atlassian:hipchat:1.0.0:*:*:*:*:jenkins:*:*,Atlassian HipChat 1.0.0 for Jenkins,"['CVE-2015-5603', 'CVE-2018-1000418', 'CVE-2018-1000419']",2022-03-19T01:29Z
1,cpe:2.3:a:atlassian:hipchat:1.1.0:*:*:*:*:jenkins:*:*,Atlassian HipChat 1.1.0 for Jenkins,"['CVE-2015-5603', 'CVE-2018-1000418', 'CVE-2018-1000419']",2022-03-19T01:29Z
2,cpe:2.3:a:atlassian:hipchat:2.0.0:*:*:*:*:jenkins:*:*,Atlassian HipChat 2.0.0 for Jenkins,"['CVE-2015-5603', 'CVE-2018-1000418', 'CVE-2018-1000419']",2022-03-19T01:29Z
3,cpe:2.3:a:atlassian:hipchat:2.1.0:*:*:*:*:jenkins:*:*,Atlassian HipChat 2.1.0 for Jenkins,"['CVE-2015-5603', 'CVE-2018-1000418', 'CVE-2018-1000419']",2022-03-19T01:29Z
4,cpe:2.3:a:atlassian:hipchat:2.1.1:*:*:*:*:jenkins:*:*,Atlassian HipChat 2.1.1 for Jenkins,"['CVE-2015-5603', 'CVE-2018-1000418', 'CVE-2018-1000419']",2022-03-19T01:29Z
5,cpe:2.3:a:atlassian:hipchat:2.2.0:*:*:*:*:jenkins:*:*,Atlassian HipChat 2.2.0 for Jenkins,"['CVE-2015-5603', 'CVE-2018-1000418', 'CVE-2018-1000419']",2022-03-19T01:29Z
6,cpe:2.3:a:atlassian:hipchat:2.2.1:*:*:*:*:jenkins:*:*,Atlassian HipChat 2.2.1 for Jenkins,['CVE-2015-5603'],2022-03-19T01:29Z
7,cpe:2.3:a:atlassian:hipchat:3.16.1:*:*:*:*:iphone_os:*:*,Atlassian HipChat 3.16.1 for iPhone OS,"['CVE-2015-5603', 'CVE-2017-8058']",2022-03-19T01:29Z
8,cpe:2.3:a:atlassian:hipchat:4.0:*:*:*:*:macos:*:*,Atlassian HipChat 4.0 for macOS,"['CVE-2015-5603', 'CVE-2017-14586']",2022-03-19T01:29Z
9,cpe:2.3:a:atlassian:hipchat:4.0.4:*:*:*:*:macos:*:*,Atlassian HipChat 4.0.4 for macOS,"['CVE-2015-5603', 'CVE-2017-14586']",2022-03-19T01:29Z
