,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:ibm:openpages_grc_platform:8.0.0.2:*:*:*:*:*:*:*,IBM OpenPages GRC Platform 8.0.0.2,"['CVE-2020-4535', 'CVE-2020-4536']",2022-03-21T21:23Z
1,cpe:2.3:a:ibm:openpages_grc_platform:8.0.0.3:*:*:*:*:*:*:*,IBM OpenPages GRC Platform 8.0.0.3,"['CVE-2020-4535', 'CVE-2020-4536']",2022-03-21T21:23Z
2,cpe:2.3:a:ibm:operational_decision_manager:7.5:*:*:*:*:*:*:*,IBM Operational Decision Manager 7.5,"['CVE-2014-0944', 'CVE-2014-0945', 'CVE-2014-0946']",2022-03-21T21:23Z
3,cpe:2.3:a:ibm:operational_decision_manager:8.0:*:*:*:*:*:*:*,IBM Operational Decision Manager 8.0,"['CVE-2014-0944', 'CVE-2014-0945', 'CVE-2014-0946', 'CVE-2014-6114']",2022-03-21T21:23Z
4,cpe:2.3:a:ibm:operational_decision_manager:8.5:*:*:*:*:*:*:*,IBM Operational Decision Manager 8.5,"['CVE-2014-0944', 'CVE-2014-0945', 'CVE-2014-0946', 'CVE-2014-6114']",2022-03-21T21:23Z
5,cpe:2.3:a:ibm:operational_decision_manager:8.6.0.0:*:*:*:*:*:*:*,IBM Operational Decision Manager 8.6.0.0,['CVE-2018-1821'],2022-03-21T21:23Z
6,cpe:2.3:a:ibm:operational_decision_manager:8.6.0.2:*:*:*:*:*:*:*,IBM Operational Decision Manager 8.6.0.2,['CVE-2018-1821'],2022-03-21T21:23Z
7,cpe:2.3:a:ibm:operational_decision_manager:8.6.0.3:*:*:*:*:*:*:*,IBM Operational Decision Manager 8.6.0.3,[''],2022-03-21T21:23Z
8,cpe:2.3:a:ibm:operational_decision_manager:8.7.0.0:*:*:*:*:*:*:*,IBM Operational Decision Manager 8.7.0.0,['CVE-2018-1821'],2022-03-21T21:23Z
9,cpe:2.3:a:ibm:operational_decision_manager:8.7.0.1:*:*:*:*:*:*:*,IBM Operational Decision Manager 8.7.0.1,['CVE-2018-1821'],2022-03-21T21:23Z
