,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:apache:java_chassis:0.5.0:*:*:*:*:*:*:*,Apache Software Foundation Java Chassis 0.5.0,[''],2022-03-18T18:58Z
1,cpe:2.3:a:apache:java_chassis:1.0.0:*:*:*:*:*:*:*,Apache Software Foundation Java Chassis 1.0.0,[''],2022-03-18T18:58Z
2,cpe:2.3:a:apache:java_chassis:1.1.0:*:*:*:*:*:*:*,Apache Software Foundation Java Chassis 1.1.0,[''],2022-03-18T18:58Z
3,cpe:2.3:a:apache:java_chassis:1.2.0:*:*:*:*:*:*:*,Apache Software Foundation Java Chassis 1.2.0,[''],2022-03-18T18:58Z
4,cpe:2.3:a:apache:java_chassis:1.2.1:*:*:*:*:*:*:*,Apache Software Foundation Java Chassis 1.2.1,[''],2022-03-18T18:58Z
5,cpe:2.3:a:apache:java_chassis:1.3.0:*:*:*:*:*:*:*,Apache Software Foundation Java Chassis 1.3.0,[''],2022-03-18T18:58Z
6,cpe:2.3:a:apache:java_chassis:1.3.1:*:*:*:*:*:*:*,Apache Software Foundation Java Chassis 1.3.1,[''],2022-03-18T18:58Z
7,cpe:2.3:a:apache:java_chassis:1.3.2:*:*:*:*:*:*:*,Apache Software Foundation Java Chassis 1.3.2,[''],2022-03-18T18:58Z
8,cpe:2.3:a:apache:java_chassis:1.3.3:*:*:*:*:*:*:*,Apache Software Foundation Java Chassis 1.3.3,[''],2022-03-18T18:59Z
9,cpe:2.3:a:apache:java_chassis:1.3.5:*:*:*:*:*:*:*,Apache Software Foundation Java Chassis 1.3.5,[''],2022-03-18T18:59Z
