,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:bestwebsoft:google_captcha:1.08:*:*:*:*:wordpress:*:*,BestWebSoft Google Captcha 1.08 for WordPress,['CVE-2015-0890'],2022-03-19T07:12Z
1,cpe:2.3:a:bestwebsoft:google_captcha:1.09:*:*:*:*:wordpress:*:*,BestWebSoft Google Captcha 1.09 for WordPress,['CVE-2015-0890'],2022-03-19T07:12Z
2,cpe:2.3:a:bestwebsoft:google_captcha:1.10:*:*:*:*:wordpress:*:*,BestWebSoft Google Captcha 1.10 for WordPress,['CVE-2015-0890'],2022-03-19T07:12Z
3,cpe:2.3:a:bestwebsoft:google_captcha:1.11:*:*:*:*:wordpress:*:*,BestWebSoft Google Captcha 1.11 for WordPress,['CVE-2015-0890'],2022-03-19T07:12Z
4,cpe:2.3:a:bestwebsoft:google_captcha:1.12:*:*:*:*:wordpress:*:*,BestWebSoft Google Captcha for WordPress 1.12,['CVE-2015-0890'],2022-03-19T07:12Z
5,cpe:2.3:a:bestwebsoft:google_captcha:1.13:*:*:*:*:wordpress:*:*,BestWebSoft Google Captcha 1.13 for WordPress,[''],2022-03-19T07:13Z
6,cpe:2.3:a:bestwebsoft:google_captcha:1.14:*:*:*:*:wordpress:*:*,BestWebSoft Google Captcha 1.14 for WordPress,[''],2022-03-19T07:13Z
7,cpe:2.3:a:bestwebsoft:google_captcha:1.15:*:*:*:*:wordpress:*:*,BestWebSoft Google Captcha 1.15 for WordPress,[''],2022-03-19T07:12Z
8,cpe:2.3:a:bestwebsoft:google_captcha:1.16:*:*:*:*:wordpress:*:*,BestWebSoft Google Captcha 1.16 for WordPress,[''],2022-03-19T07:12Z
9,cpe:2.3:a:bestwebsoft:google_captcha:1.17:*:*:*:*:wordpress:*:*,BestWebSoft Google Captcha 1.17 for WordPress,[''],2022-03-19T07:13Z
