,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:apache:cxf:3.2.10:*:*:*:*:*:*:*,Apache CXF 3.2.10,"['CVE-2019-12406', 'CVE-2019-12419', 'CVE-2019-12423', 'CVE-2019-17573', 'CVE-2020-13954', 'CVE-2020-1954', 'CVE-2021-22696', 'CVE-2021-30468']",2022-03-18T18:07Z
1,cpe:2.3:a:apache:cxf:3.2.11:*:*:*:*:*:*:*,Apache CXF 3.2.11,"['CVE-2019-12423', 'CVE-2019-17573', 'CVE-2020-13954', 'CVE-2020-1954', 'CVE-2021-22696', 'CVE-2021-30468']",2022-03-18T18:07Z
2,cpe:2.3:a:apache:cxf:3.2.12:*:*:*:*:*:*:*,Apache Software Foundation CXF 3.2.12,"['CVE-2019-17573', 'CVE-2020-13954', 'CVE-2020-1954', 'CVE-2021-22696', 'CVE-2021-30468']",2022-03-18T18:07Z
3,cpe:2.3:a:apache:cxf:3.2.13:*:*:*:*:*:*:*,Apache Software Foundation CXF 3.2.13,"['CVE-2020-13954', 'CVE-2021-22696', 'CVE-2021-30468']",2022-03-18T18:07Z
4,cpe:2.3:a:apache:cxf:3.3.0:*:*:*:*:*:*:*,Apache CXF 3.3.0,"['CVE-2019-12406', 'CVE-2019-12419', 'CVE-2019-12423', 'CVE-2019-17573', 'CVE-2020-13954', 'CVE-2020-1954', 'CVE-2021-22696', 'CVE-2021-30468']",2022-03-18T18:07Z
5,cpe:2.3:a:apache:cxf:3.3.1:*:*:*:*:*:*:*,Apache CXF 3.3.1,"['CVE-2019-12406', 'CVE-2019-12419', 'CVE-2019-12423', 'CVE-2019-17573', 'CVE-2020-13954', 'CVE-2020-1954', 'CVE-2021-22696', 'CVE-2021-30468']",2022-03-18T18:07Z
6,cpe:2.3:a:apache:cxf:3.3.2:*:*:*:*:*:*:*,Apache CXF 3.3.2,"['CVE-2019-12406', 'CVE-2019-12419', 'CVE-2019-12423', 'CVE-2019-17573', 'CVE-2020-13954', 'CVE-2020-1954', 'CVE-2021-22696', 'CVE-2021-30468']",2022-03-18T18:07Z
7,cpe:2.3:a:apache:cxf:3.3.3:*:*:*:*:*:*:*,Apache CXF 3.3.3,"['CVE-2019-12406', 'CVE-2019-12419', 'CVE-2019-12423', 'CVE-2019-17573', 'CVE-2020-13954', 'CVE-2020-1954', 'CVE-2021-22696', 'CVE-2021-30468']",2022-03-18T18:07Z
8,cpe:2.3:a:apache:cxf:3.3.4:*:*:*:*:*:*:*,Apache CXF 3.3.4,"['CVE-2019-12423', 'CVE-2019-17573', 'CVE-2020-13954', 'CVE-2020-1954', 'CVE-2021-22696', 'CVE-2021-30468']",2022-03-18T18:07Z
9,cpe:2.3:a:apache:cxf:3.3.5:*:*:*:*:*:*:*,Apache Software Foundation CXF 3.3.5,"['CVE-2020-13954', 'CVE-2020-1954', 'CVE-2021-22696', 'CVE-2021-30468']",2022-03-18T18:07Z
