,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:cisco:unified_computing_system:4.0\(4i\):*:*:*:*:*:*:*,Cisco Unified Computing System 4.0(4i),"['CVE-2021-1387', 'CVE-2021-1592', 'CVE-2021-34736']",2022-03-20T00:49Z
1,cpe:2.3:a:cisco:unified_computing_system:4.0\(4k\):*:*:*:*:*:*:*,Cisco Unified Computing System 4.0(4k),"['CVE-2021-1592', 'CVE-2021-34736']",2022-03-20T00:49Z
2,cpe:2.3:a:cisco:unified_computing_system:4.1:*:*:*:*:*:*:*,Cisco Unified Computing System 4.1,"['CVE-2021-1368', 'CVE-2021-1387', 'CVE-2021-1592', 'CVE-2021-34736']",2022-03-20T00:49Z
3,cpe:2.3:a:cisco:unified_computing_system:4.1\(1e\):*:*:*:*:*:*:*,Cisco Unified Computing System 4.1(1e),"['CVE-2021-1368', 'CVE-2021-1592', 'CVE-2021-34736']",2022-03-20T00:49Z
4,cpe:2.3:a:cisco:unified_computing_system:4.1\(2b\)a:*:*:*:*:*:*:*,Cisco Unified Computing System 4.1(2b)a,"['CVE-2021-1368', 'CVE-2021-1592', 'CVE-2021-34736']",2022-03-20T00:49Z
5,cpe:2.3:a:cisco:unified_computing_system:4.1\(2c\):*:*:*:*:*:*:*,Cisco Unified Computing System 4.1(2c),"['CVE-2021-1592', 'CVE-2021-34736']",2022-03-20T00:49Z
6,cpe:2.3:a:cisco:unified_computing_system:5.5\(203\):*:*:*:*:*:*:*,Cisco Unified Computing System 5.5(203),['CVE-2018-0338'],2022-03-20T00:49Z
7,cpe:2.3:a:cisco:unified_computing_system:7.0\(0\)bz\(0.46\):*:*:*:*:*:*:*,Cisco Unified Computing System 7.0(0)BZ(0.46),['CVE-2018-0338'],2022-03-20T00:49Z
8,cpe:2.3:h:cisco:unified_computing_system:7.0\(0\)hsk\(0.357\):*:*:*:*:*:*:*,Cisco Unified Computing System 7.0(0)HSK(0.357),[''],2022-03-20T00:49Z
9,cpe:2.3:a:cisco:unified_computing_system:9.0\(100.20\)b:*:*:*:*:*:*:*,Cisco Unified Computing System 9.0(100.20)B,['CVE-2018-0338'],2022-03-20T00:49Z
