,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:disable_comments:disable_comments_project:1.0:*:*:*:*:wordpress:*:*,Disable Comments Disable Comments Project 1.0 for WordPress,['CVE-2014-2550'],2022-03-20T14:59Z
1,cpe:2.3:a:disable_comments:disable_comments_project:1.0.1:*:*:*:*:wordpress:*:*,Disable Comments Disable Comments Project 1.0.1 for WordPress,['CVE-2014-2550'],2022-03-20T14:59Z
2,cpe:2.3:a:disable_comments:disable_comments_project:1.0.2:*:*:*:*:wordpress:*:*,Disable Comments Disable Comments Project 1.0.2 for WordPress,['CVE-2014-2550'],2022-03-20T14:59Z
3,cpe:2.3:a:disable_comments:disable_comments_project:1.0.3:*:*:*:*:wordpress:*:*,Disable Comments Disable Comments Project 1.0.3 for WordPress,['CVE-2014-2550'],2022-03-20T14:59Z
4,cpe:2.3:a:disable_comments:disable_comments_project:1.0.4:*:*:*:*:wordpress:*:*,Disable Comments Disable Comments Project 1.0.4 for WordPress,[''],2022-03-20T14:59Z
5,cpe:2.3:a:disable_comments:disable_comments_project:1.1:*:*:*:*:wordpress:*:*,Disable Comments Disable Comments Project 1.1 for WordPress,[''],2022-03-20T14:59Z
6,cpe:2.3:a:disable_comments:disable_comments_project:1.1.1:*:*:*:*:wordpress:*:*,Disable Comments Disable Comments Project 1.1.1 for WordPress,[''],2022-03-20T14:59Z
7,cpe:2.3:a:disable_comments:disable_comments_project:1.2:*:*:*:*:wordpress:*:*,Disable Comments Disable Comments Project 1.2 for WordPress,[''],2022-03-20T14:59Z
8,cpe:2.3:a:disable_comments:disable_comments_project:1.3:*:*:*:*:wordpress:*:*,Disable Comments Disable Comments Project 1.3 for WordPress,[''],2022-03-20T14:59Z
9,cpe:2.3:a:disable_comments:disable_comments_project:1.3.1:*:*:*:*:wordpress:*:*,Disable Comments Disable Comments Project 1.3.1 for WordPress,[''],2022-03-20T14:59Z
