,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:cockpit-project:cockpit:145:*:*:*:*:*:*:*,Cockpit Project Cockpit 145,"['CVE-2019-3804', 'CVE-2021-3660', 'CVE-2021-3698']",2022-03-20T04:47Z
1,cpe:2.3:a:cockpit-project:cockpit:146:*:*:*:*:*:*:*,Cockpit Project Cockpit 146,"['CVE-2019-3804', 'CVE-2021-3660', 'CVE-2021-3698']",2022-03-20T04:47Z
2,cpe:2.3:a:cockpit-project:cockpit:147:*:*:*:*:*:*:*,Cockpit Project Cockpit 147,"['CVE-2019-3804', 'CVE-2021-3660', 'CVE-2021-3698']",2022-03-20T04:47Z
3,cpe:2.3:a:cockpit-project:cockpit:148:*:*:*:*:*:*:*,Cockpit Project Cockpit 148,"['CVE-2019-3804', 'CVE-2021-3660', 'CVE-2021-3698']",2022-03-20T04:47Z
4,cpe:2.3:a:cockpit-project:cockpit:149:*:*:*:*:*:*:*,Cockpit Project Cockpit 149,"['CVE-2019-3804', 'CVE-2021-3660', 'CVE-2021-3698']",2022-03-20T04:47Z
5,cpe:2.3:a:cockpit-project:cockpit:150:*:*:*:*:*:*:*,Cockpit Project Cockpit 150,"['CVE-2019-3804', 'CVE-2021-3660', 'CVE-2021-3698']",2022-03-20T04:47Z
6,cpe:2.3:a:cockpit-project:cockpit:151:*:*:*:*:*:*:*,Cockpit Project Cockpit 151,"['CVE-2019-3804', 'CVE-2021-3660', 'CVE-2021-3698']",2022-03-20T04:47Z
7,cpe:2.3:a:cockpit-project:cockpit:152:*:*:*:*:*:*:*,Cockpit Project Cockpit 152,"['CVE-2019-3804', 'CVE-2021-3660', 'CVE-2021-3698']",2022-03-20T04:47Z
8,cpe:2.3:a:cockpit-project:cockpit:153:*:*:*:*:*:*:*,Cockpit Project Cockpit 153,"['CVE-2019-3804', 'CVE-2021-3660', 'CVE-2021-3698']",2022-03-20T04:47Z
9,cpe:2.3:a:cockpit-project:cockpit:154:*:*:*:*:*:*:*,Cockpit Project Cockpit 154,"['CVE-2019-3804', 'CVE-2021-3660', 'CVE-2021-3698']",2022-03-20T04:47Z
