,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:o:amcrest:ip4m-1053ew_firmware:v2.623.00ac004.0.r.200316:*:*:*:*:*:*:*,Amcrest IP4M-1053ew Firmware V2.623.00AC004.0.R.200316,[''],2022-03-18T16:01Z
1,cpe:2.3:h:amcrest:ip8m-2454ew:-:*:*:*:*:*:*:*,Amcrest IP8M-2454EW,"['CVE-2020-5735', 'CVE-2020-5736']",2022-03-18T16:01Z
2,cpe:2.3:o:amcrest:ip8m-2454ew_firmware:v2.622.00ac000.0.r.200320:*:*:*:*:*:*:*,Amcrest IP8M-2454ew Firmware V2.622.00AC000.0.R.200320,[''],2022-03-18T16:01Z
3,cpe:2.3:h:amcrest:ip8m-2493eb:-:*:*:*:*:*:*:*,Amcrest IP8M-2493EB,"['CVE-2020-5735', 'CVE-2020-5736']",2022-03-18T16:01Z
4,cpe:2.3:o:amcrest:ip8m-2493eb_firmware:v2.622.00ac000.0.r.200320:*:*:*:*:*:*:*,Amcrest IP8M-2493eb Firmware V2.622.00AC000.0.R.200320,[''],2022-03-18T16:01Z
5,cpe:2.3:h:amcrest:ip8m-2496eb:-:*:*:*:*:*:*:*,Amcrest IP8M-2496EB,"['CVE-2020-5735', 'CVE-2020-5736']",2022-03-18T16:01Z
6,cpe:2.3:o:amcrest:ip8m-2496eb_firmware:v2.622.00ac000.0.r.200320:*:*:*:*:*:*:*,Amcrest IP8M-2496eb Firmware V2.622.00AC000.0.R.200320,[''],2022-03-18T16:01Z
7,cpe:2.3:h:amcrest:ip8m-2597e:-:*:*:*:*:*:*:*,Amcrest IP8M-2597E,"['CVE-2020-5735', 'CVE-2020-5736']",2022-03-18T16:01Z
8,cpe:2.3:o:amcrest:ip8m-2597e_firmware:v2.800.00ac000.0.r.200330:*:*:*:*:*:*:*,Amcrest IP8M-2597e Firmware V2.800.00AC000.0.R.200330,[''],2022-03-18T16:01Z
9,cpe:2.3:h:amcrest:ip8m-mb2546ew:-:*:*:*:*:*:*:*,Amcrest IP8M-mb2546EW,"['CVE-2020-5735', 'CVE-2020-5736']",2022-03-18T16:01Z
