,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:h:dell:alienware_15_r4:-:*:*:*:*:*:*:*,Dell Alienware 15 R4 ,"['CVE-2021-36323', 'CVE-2021-36324', 'CVE-2021-36325', 'CVE-2021-36342', 'CVE-2021-36343', 'CVE-2022-24415', 'CVE-2022-24416', 'CVE-2022-24419', 'CVE-2022-24420', 'CVE-2022-24421']",2022-03-20T12:10Z
1,cpe:2.3:h:dell:alienware_17_r4:-:*:*:*:*:*:*:*,Dell Alienware 17 R4 ,"['CVE-2021-36323', 'CVE-2021-36324', 'CVE-2021-36325', 'CVE-2021-36342', 'CVE-2021-36343', 'CVE-2022-24415', 'CVE-2022-24416', 'CVE-2022-24419', 'CVE-2022-24420', 'CVE-2022-24421']",2022-03-20T12:10Z
2,cpe:2.3:h:dell:alienware_17_r5:-:*:*:*:*:*:*:*,Dell Alienware 17 R5 ,"['CVE-2021-36323', 'CVE-2021-36324', 'CVE-2021-36325', 'CVE-2021-36342', 'CVE-2021-36343', 'CVE-2022-24415', 'CVE-2022-24416', 'CVE-2022-24419', 'CVE-2022-24420', 'CVE-2022-24421']",2022-03-20T12:10Z
3,cpe:2.3:h:dell:alienware_area_51m_r1:-:*:*:*:*:*:*:*,Dell Alienware Area 51m R1 ,"['CVE-2021-36323', 'CVE-2021-36324', 'CVE-2021-36325', 'CVE-2021-36342', 'CVE-2021-36343', 'CVE-2022-22566', 'CVE-2022-22567', 'CVE-2022-24415', 'CVE-2022-24416', 'CVE-2022-24419', 'CVE-2022-24420', 'CVE-2022-24421']",2022-03-20T12:10Z
4,cpe:2.3:o:dell:alienware_area_51m_r1_firmware:-:*:*:*:*:*:*:*,Dell Alienware Area 51m R1 Firmware,"['CVE-2021-36323', 'CVE-2021-36324', 'CVE-2021-36325', 'CVE-2021-36342', 'CVE-2021-36343', 'CVE-2022-22566', 'CVE-2022-22567', 'CVE-2022-24415', 'CVE-2022-24416', 'CVE-2022-24419', 'CVE-2022-24420', 'CVE-2022-24421']",2022-03-20T12:10Z
5,cpe:2.3:o:dell:alienware_area_51m_r1_firmware:1.16.0:*:*:*:*:*:*:*,Dell Alienware Area 51m R1 Firmware 1.16.0,"['CVE-2022-24415', 'CVE-2022-24416', 'CVE-2022-24419', 'CVE-2022-24420', 'CVE-2022-24421']",2022-03-20T12:10Z
6,cpe:2.3:h:dell:alienware_area_51m_r2:-:*:*:*:*:*:*:*,Dell Alienware Area 51m R2 ,"['CVE-2021-36323', 'CVE-2021-36324', 'CVE-2021-36325', 'CVE-2021-36342', 'CVE-2021-36343', 'CVE-2022-22566', 'CVE-2022-22567', 'CVE-2022-24415', 'CVE-2022-24416', 'CVE-2022-24419', 'CVE-2022-24420', 'CVE-2022-24421']",2022-03-20T12:10Z
7,cpe:2.3:o:dell:alienware_area_51m_r2_firmware:-:*:*:*:*:*:*:*,Dell Alienware Area 51m R2 Firmware,"['CVE-2021-36323', 'CVE-2021-36324', 'CVE-2021-36325', 'CVE-2021-36342', 'CVE-2021-36343', 'CVE-2022-22566', 'CVE-2022-22567', 'CVE-2022-24415', 'CVE-2022-24416', 'CVE-2022-24419', 'CVE-2022-24420', 'CVE-2022-24421']",2022-03-20T12:10Z
8,cpe:2.3:o:dell:alienware_area_51m_r2_firmware:1.11.0:*:*:*:*:*:*:*,Dell Alienware Area 51m R2 Firmware 1.11.0,"['CVE-2022-24415', 'CVE-2022-24416', 'CVE-2022-24419', 'CVE-2022-24420', 'CVE-2022-24421']",2022-03-20T12:10Z
9,cpe:2.3:h:dell:alienware_aurora_r11:-:*:*:*:*:*:*:*,Dell Alienware Aurora R11 ,"['CVE-2021-36323', 'CVE-2021-36324', 'CVE-2021-36325', 'CVE-2021-36342', 'CVE-2021-36343']",2022-03-20T12:10Z
