"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Jun-2020","EQ","28.35","30.50","28.35","30.00","30.40","30.35","29.61","52.85","20.15",22376269,"662,640,313.20",29871
"11-Jun-2020","EQ","31.60","32.05","29.80","31.60","30.10","30.00","30.86","52.85","20.15",25534263,"788,029,327.45",36855
"10-Jun-2020","EQ","32.00","32.15","31.20","32.15","31.70","31.60","31.67","52.85","20.15",22450053,"711,029,084.80",56312
"09-Jun-2020","EQ","33.10","34.00","31.85","32.70","32.10","32.15","32.73","52.85","20.15",32610889,"1,067,195,124.45",50271
"08-Jun-2020","EQ","34.35","35.10","32.30","33.40","32.80","32.70","33.81","52.85","20.15",48035123,"1,624,253,689.05",78187
"05-Jun-2020","EQ","31.50","33.80","31.30","31.10","33.45","33.40","32.79","52.85","20.15",59694645,"1,957,487,932.25",88589
"04-Jun-2020","EQ","31.00","31.55","30.10","30.95","31.05","31.10","30.81","52.85","20.15",27576912,"849,567,183.00",58576
"03-Jun-2020","EQ","31.50","32.00","30.75","31.10","30.90","30.95","31.49","52.85","20.15",21653448,"681,793,620.35",29647
"02-Jun-2020","EQ","30.80","31.40","30.05","30.50","31.05","31.10","30.81","52.85","20.15",27935712,"860,802,910.00",47610
"01-Jun-2020","EQ","30.70","31.65","30.30","30.15","30.45","30.50","30.87","52.85","20.15",29781118,"919,457,868.95",48833
"29-May-2020","EQ","28.90","30.45","28.90","30.20","29.95","30.15","29.67","54.30","20.15",29732816,"882,098,509.75",51130
"28-May-2020","EQ","29.95","30.80","29.70","29.65","30.05","30.20","30.36","54.30","20.15",28675466,"870,623,660.05",47934
"27-May-2020","EQ","28.90","29.95","28.75","28.30","29.55","29.65","29.22","54.30","20.15",44969584,"1,314,136,809.25",70026
"26-May-2020","EQ","27.50","28.60","27.50","27.30","28.25","28.30","28.10","54.30","20.15",27073395,"760,779,061.30",43499
"22-May-2020","EQ","27.75","28.20","27.05","28.10","27.30","27.30","27.51","54.30","20.15",17373672,"477,951,137.60",49948
"21-May-2020","EQ","27.60","28.55","27.45","27.60","28.10","28.10","28.05","54.30","20.15",27487243,"771,037,714.95",40359
"20-May-2020","EQ","26.90","27.90","26.55","27.00","27.60","27.60","27.53","54.30","20.15",18263255,"502,837,464.50",35627
"19-May-2020","EQ","27.80","28.25","26.75","27.45","27.05","27.00","27.40","54.30","20.15",30155259,"826,369,318.35",59051
"18-May-2020","EQ","29.50","29.60","27.15","29.35","27.45","27.45","27.89","54.30","20.15",23059521,"643,126,308.85",59514
"15-May-2020","EQ","28.25","30.20","27.35","28.15","29.20","29.35","29.50","54.30","20.15",46611542,"1,375,182,358.15",95127
"14-May-2020","EQ","28.10","28.60","27.80","28.75","28.25","28.15","28.22","54.30","20.15",9714775,"274,156,320.95",25383
"13-May-2020","EQ","29.45","29.45","28.30","27.65","28.75","28.75","28.89","54.30","20.15",18998641,"548,818,447.55",48030
"12-May-2020","EQ","28.00","28.00","27.25","28.40","27.70","27.65","27.63","54.30","20.15",12003351,"331,697,253.25",37601
"11-May-2020","EQ","28.55","28.95","28.25","28.40","28.35","28.40","28.61","54.30","20.15",9173149,"262,415,904.00",25880
"08-May-2020","EQ","29.05","29.25","28.25","28.40","28.40","28.40","28.65","55.90","20.15",9909906,"283,891,430.00",23586
"07-May-2020","EQ","28.00","28.95","27.90","28.35","28.55","28.40","28.48","55.90","20.15",10084843,"287,225,496.80",23511
"06-May-2020","EQ","28.40","28.60","27.35","28.40","28.40","28.35","28.14","55.90","20.15",13068094,"367,783,647.20",30156
"05-May-2020","EQ","29.60","29.70","28.20","28.85","28.45","28.40","29.03","55.90","20.15",19206562,"557,511,592.05",33119
"04-May-2020","EQ","29.55","29.70","28.40","31.85","28.85","28.85","28.89","55.90","20.15",19496308,"563,151,935.80",54740
"30-Apr-2020","EQ","30.60","32.25","30.60","30.20","31.90","31.85","31.53","57.20","20.15",35723601,"1,126,362,529.95",78433
"29-Apr-2020","EQ","27.40","30.80","27.10","27.40","30.10","30.20","29.29","57.20","20.15",47374952,"1,387,670,483.25",100213
"28-Apr-2020","EQ","26.80","27.60","26.30","26.55","27.50","27.40","26.90","57.20","20.15",11729167,"315,497,427.05",22317
"27-Apr-2020","EQ","27.35","27.35","26.30","26.90","26.40","26.55","26.87","57.20","20.15",12314451,"330,882,427.45",25768
"24-Apr-2020","EQ","26.00","27.35","25.80","26.60","26.85","26.90","26.42","58.50","20.15",15594342,"411,927,364.70",26232
"23-Apr-2020","EQ","26.45","27.25","26.30","26.35","26.40","26.60","26.89","58.50","20.15",14851116,"399,379,977.85",31565
"22-Apr-2020","EQ","26.35","26.50","25.40","26.45","26.45","26.35","26.03","58.50","20.15",19429716,"505,662,210.35",60892
"21-Apr-2020","EQ","27.25","27.25","25.95","27.95","26.50","26.45","26.28","58.50","20.15",19026191,"499,918,558.10",48106
"20-Apr-2020","EQ","29.00","29.00","27.80","28.30","28.00","27.95","28.11","58.50","20.15",18761443,"527,372,854.75",47651
"17-Apr-2020","EQ","27.80","28.65","26.35","26.85","28.55","28.30","27.47","59.40","20.15",33557532,"921,672,126.35",66592
"16-Apr-2020","EQ","25.90","27.05","25.55","26.15","27.00","26.85","26.55","59.40","20.15",19014842,"504,764,309.20",45125
"15-Apr-2020","EQ","26.85","27.15","25.80","26.30","26.20","26.15","26.62","59.40","20.15",25214418,"671,215,933.05",46695
"13-Apr-2020","EQ","26.15","26.75","25.10","26.35","26.50","26.30","25.90","59.40","20.15",24780282,"641,787,510.80",45952
"09-Apr-2020","EQ","26.25","26.95","25.70","25.35","26.35","26.35","26.26","60.20","20.15",26855644,"705,352,331.05",50031
"08-Apr-2020","EQ","24.00","27.55","23.70","24.45","25.55","25.35","25.92","60.20","20.15",53476363,"1,386,080,955.50",101577
"07-Apr-2020","EQ","23.35","24.85","22.40","21.65","24.60","24.45","23.77","60.20","20.15",33936109,"806,778,178.00",66158
"03-Apr-2020","EQ","22.25","22.60","21.50","22.20","21.75","21.65","21.78","60.20","20.15",15162888,"330,282,358.10",25708
"01-Apr-2020","EQ","23.05","23.05","21.80","23.05","22.20","22.20","22.34","60.20","20.15",18438953,"411,956,169.60",38365
"31-Mar-2020","EQ","21.10","24.30","20.80","20.40","23.05","23.05","22.28","60.20","20.15",51867339,"1,155,541,018.40",74405
"30-Mar-2020","EQ","21.00","21.00","20.15","21.10","20.60","20.40","20.50","60.20","20.15",17780974,"364,444,913.20",31878
